Applicant_Income,Coapplicant_Income,Credit_Score,Loan_Amount_Term,Dependents,Education,Self_Employed,Property_Area,Existing_Loans,Age,loan_amount_sanctioned
6300.33,77.17,694,120,0,Graduate,No,Semiurban,3,33,3230.28
4586.48,2500.0,749,36,2,Graduate,No,Urban,0,52,2962.66
6794.33,2614.88,663,180,0,Graduate,No,Rural,1,35,3244.08
10525.07,2500.0,756,180,1,Not Graduate,No,Rural,1,56,3887.73
4371.77,2500.0,525,360,0,Graduate,No,Semiurban,3,25,2793.42
4371.81,1500.0,430,60,0,Graduate,No,Semiurban,0,42,2612.45
10824.92,0.0,775,180,0,Not Graduate,No,Rural,1,36,3506.44
7213.56,116.08,576,180,0,Not Graduate,Yes,Semiurban,1,61,2518.37
3886.49,0.0,455,180,1,Graduate,No,Urban,1,30,2602.32
6446.42,6034.65,517,180,0,Graduate,No,Semiurban,0,44,4642.68
3898.28,1500.0,489,360,2,Graduate,No,Rural,3,38,2637.45
3893.78,1547.7,716,60,2,Not Graduate,No,Urban,3,38,2179.1
5546.83,1507.68,845,180,1,Graduate,No,Urban,3,27,3472.02
1888.16,6000.0,340,180,2,Graduate,No,Semiurban,2,24,2736.07
2074.64,99.63,606,360,0,Graduate,Yes,Rural,2,46,1828.4
3710.26,1500.0,637,360,0,Not Graduate,No,Urban,2,25,2472.06
2961.89,1500.0,613,120,2,Graduate,No,Semiurban,0,36,1749.35
5750.97,2500.0,374,60,0,Graduate,No,Urban,1,55,2959.56
3121.25,150.08,578,360,1,Graduate,No,Semiurban,1,46,2260.14
2425.63,4085.02,475,180,0,Graduate,No,Urban,0,38,2270.54
10227.39,6000.0,572,360,1,Graduate,No,Urban,0,49,6349.56
4390.12,1500.0,588,60,2,Not Graduate,No,Rural,3,43,1794.09
5083.54,2500.0,571,180,2,Not Graduate,No,Semiurban,3,34,2299.3
2410.59,6207.67,365,360,2,Graduate,No,Semiurban,2,35,3298.81
3743.62,2538.19,782,360,2,Graduate,No,Semiurban,2,53,2897.72
5195.05,43.0,547,120,1,Graduate,No,Urban,0,45,2834.9
2764.19,1603.03,455,180,1,Graduate,No,Semiurban,2,41,1824.11
5930.41,2523.88,346,180,0,Graduate,No,Urban,1,37,2976.04
3639.79,1500.0,753,36,0,Not Graduate,No,Semiurban,0,43,1677.6
4247.79,2500.0,500,180,0,Graduate,Yes,Urban,0,63,3279.25
3637.84,6000.0,423,180,3+,Graduate,No,Semiurban,1,37,3440.86
12408.53,6000.0,300,360,0,Graduate,No,Rural,3,34,5702.68
4881.71,1572.76,490,120,1,Not Graduate,Yes,Rural,3,49,1878.99
2896.17,5.19,815,60,1,Graduate,No,Semiurban,1,40,1714.6
7415.09,6073.26,741,12,1,Not Graduate,No,Urban,1,50,3789.56
2669.32,4000.0,442,120,2,Not Graduate,Yes,Semiurban,2,39,1797.32
5455.79,7.86,490,120,0,Graduate,Yes,Rural,0,59,2461.6
1844.87,6000.0,832,360,1,Graduate,Yes,Urban,2,33,2708.41
2529.83,4091.63,526,120,2,Graduate,No,Rural,1,38,2042.99
5423.14,1534.65,612,360,0,Graduate,Yes,Urban,2,43,3004.0
7109.83,1599.8,601,360,0,Graduate,No,Rural,1,53,3996.82
5354.45,0.0,759,180,1,Graduate,No,Rural,2,59,2718.18
4638.64,208.84,700,360,2,Graduate,No,Rural,2,60,2707.16
4227.85,0.0,692,360,0,Graduate,No,Urban,3,38,2276.89
2346.64,4110.82,506,180,2,Graduate,Yes,Urban,1,29,2640.16
3429.18,0.0,509,60,2,Not Graduate,No,Semiurban,2,53,1783.53
3903.7,61.28,414,120,0,Graduate,No,Urban,0,52,2373.56
8337.85,0.0,550,180,3+,Graduate,No,Urban,2,37,3726.87
5836.05,1500.0,518,360,2,Graduate,No,Semiurban,2,39,3579.74
2035.47,6191.4,706,120,2,Graduate,No,Semiurban,0,47,3050.89
5779.32,0.0,742,360,2,Graduate,Yes,Semiurban,1,26,3056.33
4054.0,21.74,653,180,0,Graduate,No,Semiurban,3,55,2523.09
3503.57,2587.01,849,36,0,Graduate,No,Urban,3,57,2589.53
6673.09,1549.57,441,360,0,Graduate,No,Rural,3,54,3299.73
8229.66,15.04,800,180,0,Graduate,No,Urban,0,40,3716.95
7829.39,1536.5,846,120,0,Graduate,No,Semiurban,2,45,3921.2
3230.5,240.34,841,180,2,Graduate,No,Semiurban,1,24,1757.49
4210.74,0.0,806,36,2,Graduate,Yes,Rural,2,30,1435.51
5800.11,1520.11,580,180,1,Graduate,No,Urban,3,30,3137.03
8004.61,1605.07,723,120,2,Graduate,No,Semiurban,2,44,4107.96
3867.69,6110.55,569,120,2,Graduate,No,Semiurban,0,41,3533.61
4479.07,118.7,453,360,0,Graduate,No,Urban,0,31,2630.24
2826.61,1563.87,382,180,0,Graduate,No,Semiurban,1,47,2244.58
2702.4,2500.0,725,60,1,Graduate,No,Rural,1,36,1909.31
7378.04,163.34,574,120,2,Not Graduate,Yes,Rural,3,46,1699.61
9682.93,2500.0,583,360,0,Not Graduate,No,Urban,1,50,4355.62
4740.96,30.26,472,60,1,Graduate,No,Urban,2,36,2318.55
8117.41,6000.0,626,60,0,Graduate,No,Urban,0,27,4903.1
5888.86,0.0,362,12,2,Graduate,No,Semiurban,0,36,2691.67
3559.73,1532.88,372,12,2,Graduate,Yes,Urban,0,55,2486.95
5888.15,32.14,674,360,2,Graduate,No,Urban,1,36,3449.74
10604.34,6042.19,807,180,3+,Graduate,No,Rural,0,60,5303.13
4827.51,1661.37,697,120,2,Graduate,No,Rural,0,32,2226.37
10746.35,1545.35,419,180,3+,Not Graduate,No,Urban,0,55,4329.32
1326.27,0.0,736,120,3+,Graduate,No,Urban,3,41,1000.0
7412.71,2596.41,764,360,2,Graduate,No,Semiurban,3,63,4440.73
5133.4,118.95,585,360,1,Graduate,No,Urban,1,56,3300.15
4232.28,4000.0,564,120,0,Graduate,Yes,Semiurban,0,37,2482.56
5145.51,59.74,619,360,0,Graduate,No,Semiurban,1,52,3061.08
1819.32,70.12,675,360,1,Graduate,No,Rural,0,61,2044.16
4403.54,0.0,388,120,0,Not Graduate,Yes,Semiurban,0,26,1136.1
