Model,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Avg (No-PCA),Avg (With-PCA),Std (No-PCA),Std (With-PCA)
SVM,0.967,0.989,0.967,0.978,0.978,0.9758,0.9714,0.0082,0.0132
Naive Bayes,0.956,0.978,0.9121,0.9121,0.9341,0.9385,0.9121,0.0256,0.0303
KNN,0.967,1.0,0.967,0.956,0.989,0.9758,0.9714,0.0162,0.0149
Logistic Regression,0.956,0.967,1.0,0.978,0.967,0.9736,0.9758,0.0149,0.0176
Decision Tree,0.8901,0.967,0.8901,0.9121,0.956,0.9231,0.9385,0.0326,0.0164
Random Forest,0.967,1.0,0.9451,0.9451,0.978,0.967,0.9582,0.0209,0.0189
AdaBoost,0.956,0.967,0.967,0.978,0.989,0.9714,0.9714,0.0112,0.0054
Gradient Boosting,0.967,0.978,0.967,0.967,0.989,0.9736,0.9582,0.0088,0.0082
XGBoost,0.967,0.978,0.967,0.967,0.989,0.9736,0.9736,0.0088,0.0088
Stacking,0.956,0.989,0.978,0.978,0.989,0.978,0.9714,0.012,0.0088
