Model,Test Accuracy (No-PCA),Test Accuracy (With-PCA),Accuracy Delta,Test F1 (No-PCA),Test F1 (With-PCA),F1 Delta,CV Std Delta (PCA - NoPCA)
Logistic Regression,0.9649,0.9737,0.0088,0.9512,0.963,0.0118,0.0027
Stacking,0.9737,0.9825,0.0088,0.963,0.9756,0.0126,-0.0032
Decision Tree,0.9386,0.9386,0.0,0.9136,0.9136,0.0,-0.0162
XGBoost,0.9737,0.9737,0.0,0.963,0.9639,0.0009,0.0
SVM,0.9737,0.9649,-0.0088,0.963,0.9512,-0.0118,0.005
Gradient Boosting,0.9649,0.9561,-0.0088,0.95,0.9383,-0.0117,-0.0006
KNN,0.9649,0.9474,-0.0175,0.95,0.925,-0.025,-0.0013
Random Forest,0.9737,0.9474,-0.0263,0.963,0.9268,-0.0362,-0.002
AdaBoost,0.9737,0.9474,-0.0263,0.963,0.925,-0.038,-0.0058
Naive Bayes,0.9211,0.8947,-0.0264,0.8889,0.8571,-0.0318,0.0047
